시장명,시장유형,시장개설주기,취급품목,지역,상호명,업종대분류,업종중분류,업종소분류,도로명주소,거리(m),상가업소번호,경도,위도
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,도도멍냥,소매,애완동물·용품 소매,애완동물/애완용품 소매업,전라남도 순천시 중앙로 81-1,90.3,MA010120220813094662,127.483694146867,34.9529410708324
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,동아상사,소매,섬유·의복·신발 소매,기타 의류 소매업,전라남도 여수시 중앙로 39,48.2,MA010120220807929668,127.732045158151,34.7404957188703
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,동아전기,소매,기타 생활용품 소매,전기용품/조명장치 소매업,전라남도 여수시 중앙로 37-1,59.4,MA010120220807929643,127.731935490544,34.7404422942237
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,동일라코,소매,섬유·의복·신발 소매,기타 의류 소매업,전라남도 여수시 진남상가길 33-9,129.3,MA010120220807914658,127.733657670599,34.7413243142145
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,동일의류,소매,섬유·의복·신발 소매,남성 의류 소매업,전라남도 순천시 황금2길 8-1,103.3,MA010120220807843419,127.484993032634,34.9541347258708
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,동희,소매,섬유·의복·신발 소매,기타 의류 소매업,전라남도 여수시 진남상가길 27-1,148.8,MA010120220807946130,127.733844093509,34.7414133306602
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,두리아나,소매,섬유·의복·신발 소매,침구류/커튼 소매업,전라남도 여수시 중앙로 43,0.0,MA010120220810229641,127.732559229325,34.7405917814862
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,드로우마켓,소매,섬유·의복·신발 소매,기타 의류 소매업,전라남도 여수시 충무로 38-3,112.2,MA0106202509A1423182,127.731603628154,34.7399575342687
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,디스커버리순천,소매,섬유·의복·신발 소매,기타 의류 소매업,전라남도 순천시 황금2길 9,134.0,MA010120220807873989,127.485213317046,34.9543591908683
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,디자인스튜디오여수,과학·기술,전문 디자인,시각 디자인업,전라남도 여수시 중앙로 43,0.0,MA0101202306A0083468,127.732559229325,34.7405917814862
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,디저트39순천,음식,비알코올 ,카페,전라남도 순천시 황금2길 10,105.3,MA0101202412A0021664,127.485167932234,34.9540889584354
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,땡큐제이,소매,섬유·의복·신발 소매,여성 의류 소매업,전라남도 순천시 별미길 15,87.7,MA0101202303A0037778,127.485123185022,34.9539268889218
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,똘이2,소매,섬유·의복·신발 소매,여성 의류 소매업,전라남도 순천시 황금1길 2-1,51.8,MA010120220806515988,127.485044373397,34.953557638212
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,라라미용실,수리·개인,이용·미용,미용실,전라남도 여수시 통제영2길 12-3,88.4,MA010120220804900005,127.733241229017,34.7411555568865
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,라라샵,소매,의약·화장품 소매,화장품 소매업,전라남도 순천시 별미길 25,125.5,MA0101202211A0005388,127.485703524476,34.9539425972706
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,라벨라데이,소매,섬유·의복·신발 소매,기타 의류 소매업,전라남도 여수시 중앙로 55,106.5,MA0106202508A2009921,127.733692900649,34.7403686224059
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,라펠,소매,섬유·의복·신발 소매,여성 의류 소매업,전라남도 순천시 황금2길 8,94.7,MA010120220807867242,127.484795759526,34.9540994582357
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,란샵RAN,수리·개인,이용·미용,피부 관리실,전라남도 순천시 황금2길 4,87.3,MA010120220807874706,127.484357369543,34.9540200830515
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,럭키포토,과학·기술,사진 촬영,사진촬영업,전라남도 순천시 황금2길 3,106.3,MA010120220807887553,127.484446065727,34.9542090189468
